Date,Project Name,Hours Worked,Work Details,Extra Remarks
2024-08-05,OUTR-FTS,8.0,Working on admin section,
2024-08-06,OUTR-FTS,8.0,Working on Manage Users in admin,
2024-08-08,GCEK,4.0,Co-ordinating with Billdesk and trying to resolve the data issue,Still waiting for them to respond
2024-08-08,OUTR-FTS,6.0,Working on the User section UI,Amitav suggested to change the UI so that the client don't think we used the old code
2024-08-09,GCEK,2.0,Trying to resolve the issue,
2024-08-09,OJEE,2.5,Working on importing Pharma data from excel to mysql and fixing data and uploading to OJEE  Server,Amitav is co-ordinating with Billdesk
2024-08-10,OUTR-FTS,8.0,Working on the Database models and UI,
2024-08-09,OUTR-FTS,6.0,Working on Admin UI,
2024-08-10,Daily Report,3.0,Working on Developing Daily Report App,
2024-08-09,Daily Report,1.0,Planning & setting up environment for Developing Daily Report App,
